name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
M14,,GCl,amas globulaire,17.6267,-3.2459,9.9,9.9,5.73,sans,14
M6,Butterfly Cluster,OCl,amas ouvert,17.6724,-32.2542,15.60,15.60,4.2,sans,6
M7,Ptolemy's Cluster,OCl,amas ouvert,17.8975,-34.7928,22.20,22.20,3.3,sans,7
M23,,OCl,amas ouvert,17.9513,-18.9853,16.80,16.80,5.5,sans,23
M20,Trifid Nebula,Neb,nebuleuse,18.045,-22.9719,28.00,28.00,8.5,LP,20
M8,Lagoon Nebula,Neb,nebuleuse,18.0615,-24.3802,45.00,30.00,5.8,LP,8
M21,,OCl,amas ouvert,18.0704,-22.4901,6.00,6.00,5.9,sans,21
M24,Small Sgr Star Cloud,*Ass,association d'etoiles,18.2823,-18.5146,120.00,60.00,4.5,sans,24
M16,Eagle Nebula,Neb,nebuleuse,18.3134,-13.8072,120.00,25.00,6.0,LP,16
M18,,OCl,amas ouvert,18.3329,-17.102,6.00,6.00,6.9,sans,18
M17,Checkmark Nebula,Neb,nebuleuse,18.3464,-16.1715,12.60,12.60,7.0,LP,17
M28,,GCl,amas globulaire,18.4091,-24.8698,5.10,5.10,6.9,sans,28
M69,,GCl,amas globulaire,18.5231,-32.348,5.70,5.70,8.31,sans,69
M25,,OCl,amas ouvert,18.5297,-19.1149,14.10,14.10,4.6,sans,25
M22,,GCl,amas globulaire,18.6067,-23.9034,12.60,12.60,6.17,sans,22
M70,,GCl,amas globulaire,18.7202,-32.2919,6.60,6.60,9.06,sans,70
M26,,OCl,amas ouvert,18.7552,-9.3836,6.00,6.00,8.87,sans,26
M11,Amas de l'Ecu de Sobieski,OCl,amas ouvert,18.8517,-6.27,9.00,9.00,5.8,sans,11
M57,Ring Nebula,PN,nebuleuse planetaire,18.8931,33.0286,1.27,1.27,8.8,LP,57
M54,,GCl,amas globulaire,18.9176,-30.4785,5.10,5.10,7.7,sans,54
M56,,GCl,amas globulaire,19.2765,30.1845,5.80,5.80,8.4,sans,56
M55,,GCl,amas globulaire,19.6665,-30.9621,12.00,12.00,6.49,sans,55
M71,,GCl,amas globulaire,19.8961,18.7784,6.90,6.90,6.1,sans,71
M27,Dumbbell Nebula,PN,nebuleuse planetaire,19.9934,22.721,6.70,6.70,7.4,LP,27
M75,,GCl,amas globulaire,20.1013,-21.9222,3.60,3.60,8.26,sans,75
M29,,OCl,amas ouvert,20.3994,38.5077,3.60,3.60,6.6,sans,29
M72,,GCl,amas globulaire,20.8911,-12.5371,4.50,4.50,8.96,sans,72
M73,,Other,autre,20.9822,-12.6355,,,8.9,sans,73
M15,,GCl,amas globulaire,21.4995,12.1668,11.10,11.10,6.3,sans,15
M39,,OCl,amas ouvert,21.5301,48.4382,19.50,19.50,4.6,sans,39
M2,,GCl,amas globulaire,21.5575,-0.8233,8.40,8.40,6.25,sans,2
M30,,GCl,amas globulaire,21.6728,-23.1791,9.00,9.00,7.1,sans,30
M52,,OCl,amas ouvert,23.4134,61.5932,9.90,9.90,6.9,sans,52
