hip,ra_deg,dec_deg,mag,name,desig
15669,50.4689,49.0709,5.94,,
15696,50.5496,27.6076,5.55,,62 Ari
15737,50.6885,20.7421,5.1,,63 Ari
15770,50.805,49.2133,5.32,,V0575 Per
15861,51.077,24.7241,5.5,,64 Ari
15863,51.0807,49.8612,1.79,Mirfak,α Per
15876,51.1238,33.536,5.78,,
15890,51.169,64.586,5.13,,CQ Cam
15900,51.2033,9.0289,3.61,,ο Tau
15968,51.4011,-69.3364,5.96,,
16029,51.5939,-27.3175,5.93,,
16083,51.7923,9.7327,3.73,,ξ Tau
16112,51.8893,-35.6813,5.71,,χ2 For
16142,52.0039,-11.2866,5.74,,
16147,52.0128,49.0629,4.99,,
16168,52.0862,33.8076,5.72,,
16210,52.218,49.8484,5.58,,
16228,52.2672,59.9403,4.21,,CS Cam
16244,52.3419,49.5089,4.67,,34 Per
16245,52.3445,-62.9375,4.71,,κ Ret
16263,52.4001,-12.6747,5.57,,
16281,52.4781,58.8787,4.55,,CE Cam
16285,52.4798,-42.6343,5.76,,
16290,52.4954,-78.3518,5.68,,
16292,52.5008,55.4518,5.09,,
16322,52.602,11.3364,5.14,,s Tau
16335,52.6437,47.9952,4.36,,σ Per
16339,52.654,-47.3751,5.98,,TU Hor
16340,52.654,48.1036,5.82,,
16341,52.6544,-5.0751,4.74,,v Eri
16358,52.6892,6.1887,5.93,,
16368,52.7154,-66.4897,5.81,,
16369,52.7182,12.9367,4.14,,f Tau
16470,53.0358,48.0235,5.47,,V0396 Per
16489,53.0839,84.911,5.62,,
16499,53.1094,46.0569,5.3,,36 Per
16509,53.145,-50.3786,5.67,,
16511,53.1498,9.3734,5.76,,t Tau
16518,53.1667,35.4617,5.91,,
16537,53.2327,-9.4583,3.72,Ran,ε Eri
16591,53.396,39.8995,5.79,,IW Per
16599,53.4127,54.9749,5.98,,
16611,53.447,-21.6329,4.26,,τ5 Eri
16664,53.6109,24.4644,5.95,,7 Tau
16780,53.9903,-11.1938,5.56,,
16803,54.0726,-17.4671,5.24,,20 Eri
16826,54.1224,48.1926,4.32,,ψ Per
16846,54.197,0.5878,5.82,,V0711 Tau
16852,54.2183,0.4017,4.29,,10 Tau
16870,54.2737,-40.2745,4.57,,y Eri
16989,54.6219,-7.3919,5.86,,
17027,54.7547,-5.6262,5.97,,21 Eri
17103,54.963,3.0569,5.55,,12 Tau
17167,55.1597,-5.2107,5.53,,22 Eri
17203,55.2827,37.5802,5.55,,
17296,55.5389,63.2168,5.06,,BD Cam
17304,55.5621,-31.9384,4.99,,δ For
17309,55.579,19.7003,5.68,,13 Tau
17313,55.5944,33.965,4.97,,o Per
17342,55.6781,59.9694,5.74,,
17351,55.7086,-37.3135,4.59,,h Eri
17358,55.7313,47.7876,3.01,,δ Per
17378,55.8121,-9.7634,3.52,Rana,δ Eri
17395,55.891,-10.4857,5.59,,
17440,56.0499,-64.8069,3.84,,β Ret
17448,56.0797,32.2882,3.84,Atik,ο Per
17457,56.1271,-1.1631,5.24,,24 Eri
17460,56.131,36.4601,5.6,,
17489,56.2009,24.2895,5.45,Celaeno,16 Tau
17499,56.2189,24.1133,3.72,Electra,17 Tau
17506,56.2354,-0.2967,5.56,,25 Eri
17527,56.2906,24.8393,5.66,,18 Tau
17529,56.2985,42.5785,3.77,,ν Per
17531,56.3021,24.4673,4.3,Taygeta,q Tau
17534,56.3162,-47.3595,5.72,,
17563,56.4185,6.05,5.34,,u Tau
17573,56.4567,24.3677,3.87,Maia,20 Tau
17579,56.477,24.5545,5.76,Asterope,21 Tau
17584,56.4969,45.6819,5.66,,
17585,56.5039,67.2016,5.79,,
17587,56.5097,63.345,4.78,,
17593,56.5356,-12.1016,4.43,,π Eri
17595,56.539,6.8035,5.91,,
17608,56.5816,23.9484,4.14,Merope,23 Tau
17618,56.6143,-29.3382,5.91,,σ For
17651,56.712,-23.2497,4.22,,τ6 Eri
17678,56.8098,-74.239,3.26,,γ Hyi
17702,56.8712,24.1051,2.85,Alcyone,η Tau
17717,56.9152,-23.8747,5.24,,τ7 Eri
17738,56.9835,-30.1679,5.52,,ρ For
17771,57.0678,11.1433,5.08,,e Tau
17776,57.0867,23.4212,5.44,,
17797,57.1495,-37.6202,4.3,,f Eri
17798,57.1488,-20.903,5.81,,
17805,57.1623,0.2279,5.91,,
17846,57.2838,43.9631,5.95,,V0376 Per
17847,57.2906,24.0534,3.62,Atlas,27 Tau
17851,57.2967,24.1367,5.05,Pleione,28 Tau
17854,57.3072,70.871,5.4,,
17874,57.3635,-36.2003,4.17,,g Eri
17884,57.3803,65.526,4.39,,BE Cam
17886,57.3862,33.0914,5.14,,n Per
17891,57.4025,63.297,5.82,,
17932,57.5184,44.9679,5.65,,
17954,57.5789,25.5794,5.24,,
17959,57.5896,71.3323,4.59,,γ Cam
18081,57.9738,34.3591,5.78,,
18089,58.001,6.5349,5.66,,31 Tau
18141,58.1736,-5.3613,5.48,,30 Eri
18170,58.2919,17.3271,5.97,,
18199,58.3888,-46.8937,5.93,,
18212,58.4113,48.6505,5.76,,
18213,58.4123,-34.7323,5.11,,i Eri
18216,58.4279,-24.6122,4.64,,τ8 Eri
18217,58.4304,57.9751,5.8,,
18246,58.533,31.8836,2.84,Atik,ζ Per
18255,58.5729,-2.9547,4.46,,w Eri
18262,58.5965,-40.357,5.7,,
18339,58.8172,-12.0991,5.99,,DO Eri
18396,58.9924,47.8714,5.39,,
18434,59.1195,35.0809,5.49,,
18453,59.1522,50.6954,5.28,,A Per
18471,59.217,22.478,5.62,,32 Tau
18488,59.2845,61.1089,4.99,,
18505,59.356,63.0723,4.95,,
18532,59.4635,40.0102,2.9,,ε Per
18543,59.5074,-13.5085,2.97,Zaurak,γ Eri
18597,59.6865,-61.4002,4.56,,δ Ret
18606,59.7183,-5.4699,5.85,,
18614,59.7413,35.791,3.98,Menkib,ξ Per
18647,59.8755,-12.5744,5.61,,
18673,59.9812,-24.0162,4.62,,τ9 Eri
18723,60.1694,-30.4907,5.93,,
18724,60.1701,12.4903,3.41,,λ Tau
18735,60.2032,18.194,5.89,,
18744,60.2242,-62.1593,4.48,,γ Ret
18772,60.3256,-61.0788,4.97,,ι Ret
18788,60.3835,-1.5497,5.28,,35 Eri
18805,60.4422,9.998,5.67,,
18859,60.6531,-0.2689,5.38,,
18907,60.7891,5.9893,3.91,,ν Tau
18957,60.9359,5.4356,5.32,,40 Tau
18975,60.9859,8.1973,5.45,,
18993,61.0411,2.8269,5.36,,
19009,61.0903,24.106,5.46,,36 Tau
19011,61.0946,-12.7923,5.62,,
19018,61.1132,59.1555,5,,
19038,61.1738,22.0819,4.36,,A1 Tau
19076,61.3344,22.0089,5.9,,A2 Tau
19095,61.406,-27.6518,5.59,,
19129,61.5133,68.68,5.88,,
19167,61.646,50.3513,4.25,,λ Per
19171,61.6517,27.5999,5.18,,41 Tau
19205,61.7519,29.0013,5.21,,ψ Tau
19284,61.9976,17.3399,5.89,,
19335,62.1526,38.0397,5.52,,50 Per
19343,62.1654,47.7125,3.96,Nembus,c Per
19376,62.2565,13.3983,5.94,,
19388,62.2915,19.6092,5.51,,43 Tau
19398,62.3243,-16.3859,5.45,,
19454,62.5068,86.6261,5.84,,
19461,62.5114,80.6987,5.1,,
19483,62.5938,-6.9239,5.44,,37 Eri
19511,62.699,-8.8198,5.7,,
19513,62.7078,26.481,5.39,,p Tau
19515,62.7108,-41.9936,4.93,,δ Hor
19525,62.7459,33.5868,5.75,,
19554,62.8345,5.523,5.71,,45 Tau
19571,62.9008,-20.3562,5.8,,
19587,62.9664,-6.8376,4.04,Beid,ο1 Eri
19719,63.3879,7.716,5.29,,46 Tau
19740,63.4849,9.2638,4.84,,47 Tau
19747,63.5005,-42.2944,3.85,,α Hor
19777,63.5987,-10.2563,4.87,,A Eri
19780,63.6062,-62.4739,3.33,,α Ret
19799,63.651,10.0114,5.22,,
19805,63.7023,-62.1918,5.45,,
19811,63.7222,40.4837,4.67,,f Per
19812,63.7244,48.4093,4.12,,μ Per
19849,63.818,-7.6529,4.43,Keid,ο2 Eri
19860,63.8836,8.8924,4.27,,μ Tau
19893,64.0066,-51.4866,4.26,,γ Dor
19921,64.121,-59.3022,4.44,,ε Ret
19949,64.1795,53.6118,5.2,,
19968,64.2231,61.85,5.69,,
19983,64.2837,57.8604,5.72,,
19990,64.3153,20.5786,4.93,,ω Tau
19996,64.3301,-6.4722,5.95,,
20020,64.4178,-63.2554,5.88,,θ Ret
20042,64.4736,-33.7983,3.55,Beemim,υ4 Eri
20049,64.497,-80.214,5.67,,δ Men
20070,64.5609,50.2955,4.6,,b Per
20075,64.567,-20.7153,6,,
20087,64.5967,21.5793,5.64,,51 Tau
20156,64.8052,50.0487,5.46,,
20161,64.8196,-44.2679,5.33,,
20171,64.8587,21.1423,5.5,,53 Tau
20186,64.9029,21.7735,5.34,,56 Tau
20205,64.9483,15.6276,3.65,Prima Hyadum,γ Tau
20219,64.9904,14.0352,5.58,,h Tau
20234,65.048,50.9209,5.55,,b2 Per
20241,65.0601,41.8081,5.95,,
20250,65.0884,27.3508,4.97,Alkalbain,φ Tau
20252,65.1027,34.5667,4.93,,54 Per
20261,65.1513,15.0955,5.26,,58 Tau
20264,65.1626,-20.6396,5.38,,
20266,65.168,65.1404,5.26,,
20268,65.1719,6.1308,5.76,,
20271,65.1785,-7.5925,5.85,,d Eri
20297,65.2419,-81.5799,5.78,,ν Men
20341,65.3627,-0.0982,5.86,,
20354,65.3882,46.4989,4.8,,d Per
20376,65.4485,60.7356,5.4,,
20380,65.4659,56.5063,5.91,,
20384,65.4722,-63.3864,5.24,,η Ret
20400,65.5147,14.0772,5.72,,60 Tau
20417,65.5947,20.8214,5.91,,
20430,65.6456,25.6293,5.38,,χ Tau
20455,65.7337,17.5425,3.77,Secunda Hyadum,δ Tau
20465,65.7736,-24.8922,5.81,,
20484,65.8544,16.7773,5.64,,63 Tau
20493,65.8849,20.982,6,,V1141 Tau
20507,65.9202,-3.7455,5.17,,ξ Eri
20522,65.9659,9.461,5.1,,r Tau
20535,66.0092,-34.0168,3.97,Beemim,undefined3 Eri
20542,66.024,17.4441,4.8,,64 Tau
20579,66.1215,34.1308,5.73,,55 Per
20591,66.1561,33.9597,5.77,,56 Per
20614,66.238,19.042,5.97,,
20619,66.2722,-61.2382,5.94,,
20635,66.3424,22.2939,4.21,,κ Tau
20641,66.3542,22.2,5.27,,67 Tau
20648,66.3724,17.9279,4.3,,68 Tau
20704,66.5263,31.4389,5.29,,
20711,66.5769,22.8136,4.28,,υ Tau
20713,66.5864,15.6183,4.48,,71 Tau
20732,66.6516,14.7138,4.69,,π Tau
20776,66.7623,80.8242,5.42,,
20789,66.8227,22.9963,5.53,,72 Tau
20804,66.8699,11.2123,5.87,,
20825,66.9418,-62.5212,5.74,,
20842,67.0033,21.6199,5.72,,
20860,67.0553,83.8078,5.51,,V0408 Cep
20873,67.0975,14.741,5.9,,76 Tau
20877,67.1099,16.3597,4.96,,75 Tau
20884,67.1338,1.3808,5.53,,44 Eri
20885,67.1437,15.9622,3.84,,θ1 Tau
20889,67.1542,19.1804,3.53,Ain,ε Tau
20892,67.1627,-19.4589,5.95,,
20894,67.1656,15.8709,3.4,Chamukuy,θ2 Tau
20901,67.209,13.0476,5.02,,b Tau
20922,67.2789,-13.0484,5.61,,DU Eri
20982,67.5015,83.3404,5.47,,
20995,67.5358,15.6378,5.58,,80 Tau
21029,67.6401,16.194,4.78,,
21036,67.6557,13.7244,5.4,,83 Tau
21039,67.662,15.6919,5.47,,81 Tau
21042,67.668,-35.6535,5.95,,
21060,67.7087,-44.9537,5.07,,δ Cae
21139,67.9694,-0.044,4.91,,45 Eri
21148,68.0077,53.9108,5.78,,1 Cam
21192,68.1565,-3.2095,5.76,,DZ Eri
21247,68.3778,72.5286,5.94,,
21248,68.3773,-29.7665,4.49,Beemim,υ1 Eri
21253,68.3915,-62.8237,5.79,,
21273,68.4622,14.8444,4.65,,ρ Tau
21278,68.478,-6.7389,5.71,,46 Eri
21281,68.4991,-55.045,3.3,,α Dor
21295,68.5344,5.5686,5.67,,
21296,68.5485,-8.2314,5.2,,47 Eri
21297,68.549,-8.9703,5.24,,
21323,68.6583,28.9612,5.88,,
21393,68.8877,-30.5623,3.81,Theemin,υ2 Eri
21402,68.9136,10.1608,4.25,,d Tau
21421,68.9802,16.5093,0.87,Aldebaran,α Tau
21444,69.0798,-3.3525,3.93,,ν Eri
21452,69.1008,64.2616,5.91,,
21476,69.1726,41.2648,4.25,,e Per
21479,69.19,-62.0772,5.59,,R Dor
21515,69.307,0.9983,5.32,,49 Eri
21547,69.4005,-2.4735,5.22,,c Eri
21588,69.5394,16.0333,5.78,,89 Tau
21589,69.5394,12.5108,4.27,,c1 Tau
21594,69.5451,-14.304,3.86,Sceptrum,l Eri
21604,69.566,20.6847,5.85,,HU Tau
21644,69.7231,-12.1231,4.99,,
21670,69.7757,7.871,5.38,,
21673,69.7884,15.7998,5.08,,σ1 Tau
21683,69.8188,15.918,4.67,,σ2 Tau
21685,69.8321,-14.3592,5.46,,
21727,69.9778,53.0795,5.07,,3 Cam
21730,69.992,53.473,5.36,,2 Cam
21735,70.0142,12.1976,5.45,,93 Tau
21743,70.0283,-24.4824,5.56,,
21763,70.1105,-19.6715,4.32,,54 Eri
21770,70.1405,-41.8638,4.44,,α Cae
21819,70.3323,28.615,5.73,,
21823,70.3505,48.3009,5.66,,
21847,70.4594,38.2802,5.97,,
21861,70.5145,-37.1443,5.04,,β Cae
21881,70.5613,22.9569,4.27,,τ Tau
21914,70.6934,-50.4813,5.3,,λ Pic
21928,70.7264,43.3651,5.3,,59 Per
21949,70.7665,-70.931,5.53,,μ Men
21958,70.7887,-30.7656,5.66,,
21972,70.84,49.9738,5.86,,
21986,70.8948,-8.7943,5.98,,55 Eri
22024,71.0222,-8.5036,5.78,,56 Eri
22028,71.0333,-18.6666,5.53,,
22040,71.0881,-59.7327,5.28,,κ Dor
22044,71.1076,11.1461,5.39,,
22086,71.2673,-21.2834,5.72,,
22109,71.3756,-3.2547,4.01,,μ Eri
22157,71.5073,11.7056,5.35,,
22176,71.5701,18.7347,5.99,,
22220,71.6853,40.3126,5.99,,
22263,71.9012,-16.9345,5.49,,58 Eri
22287,72.0011,56.7572,5.29,,4 Cam
22325,72.1356,-16.3295,5.76,,59 Eri
22336,72.1516,-5.674,5.77,,
22361,72.2098,75.9412,5.96,,
22393,72.3035,31.4374,5.57,,
22407,72.3295,32.5882,5.84,,
22449,72.46,6.9613,3.19,Tabit,π3 Ori
22453,72.4777,37.4883,4.89,,1 Aur
22479,72.5484,-16.2172,5.03,,60 Eri
22509,72.653,8.9002,4.35,Al Taj,π2 Ori
22531,72.7305,-53.4615,5.58,,ι Pic
22545,72.7889,48.7407,5.64,,
22549,72.8015,5.6051,3.68,,π4 Ori
22565,72.8436,18.8399,5.08,,i Tau
22573,72.8676,-34.9063,5.82,,
22626,73.0217,63.5054,5.47,,
22667,73.1332,14.2506,4.71,Al Kumm,ο1 Ori
22678,73.1583,36.7032,4.79,,2 Aur
22697,73.1963,27.8975,5.97,,
22699,73.199,42.5866,5.68,,
22701,73.2236,-5.4527,4.36,,ω Eri
22730,73.3449,2.5082,5.33,,5 Ori
22783,73.5125,66.3427,4.26,,α Cam
22797,73.5629,2.4407,3.71,,π5 Ori
22833,73.6954,11.426,5.18,Manica,g Ori
22834,73.6991,7.7791,5.33,,
22840,73.7113,0.4672,5.98,,
22845,73.7239,10.1508,4.64,,π1 Ori
22854,73.763,55.2591,5.52,,5 Cam
22860,73.7784,-16.7407,5.71,,
22871,73.7967,-74.9369,5.47,,η Men
22881,73.8277,-16.4178,5.71,,R Eri
22913,73.959,15.0403,5.79,,
22936,74.0295,52.8698,5.75,,
22957,74.0928,13.5145,4.06,,ο2 Ori
22958,74.1008,-5.1714,5.5,,b Eri
23015,74.2484,33.1661,2.69,Hassaleh,ι Aur
23040,74.3217,53.7521,4.43,,7 Cam
23043,74.3431,17.1537,5.51,,
23068,74.4527,23.9486,5.79,,99 Tau
23088,74.5391,25.0504,5.79,,k Tau
23123,74.6371,1.714,4.47,,π6 Ori
23148,74.7124,-82.4705,5.84,,ξ Men
23166,74.7557,-16.376,5.65,,
23179,74.8142,37.8902,4.93,,4 Aur
23221,74.9602,-10.2633,5.39,,63 Eri
23231,74.9822,-12.5374,4.78,,64 Eri
23261,75.0764,39.3947,5.95,,5 Aur
23265,75.0863,81.1941,5.09,,
23362,75.3566,-20.0519,4.91,,
23364,75.3598,-7.174,4.8,Kursi al Jauzah,ψ Eri
23408,75.4598,0.7221,5.91,,
23416,75.4922,43.8233,3.03,Almaaz,ε Aur
23430,75.5409,-26.275,5.01,,
23446,75.595,-31.7713,5.92,,
23453,75.6195,41.0758,3.69,Saclateni,ζ Aur
23467,75.6792,-71.3143,5.3,,β Men
23474,75.6874,-22.7951,5.74,,1 Lep
23475,75.6891,-4.2101,5.86,,
23482,75.7029,-49.1514,5.37,,η1 Pic
23497,75.7739,21.59,4.62,,ι Tau
23522,75.8545,60.4422,4.03,,β Cam
23554,75.972,-24.3882,5.61,,
23595,76.1017,-35.483,4.55,,γ Cae
23607,76.1423,15.4041,4.65,,11 Ori
23649,76.2417,-49.5778,5.05,,η2 Pic
23668,76.3175,-26.1524,5.71,,
23685,76.3653,-22.371,3.19,,ε Lep
23693,76.3777,-57.4727,4.71,,ζ Dor
23734,76.5352,58.9724,5.22,,11 Cam
23766,76.6238,61.1698,6,,
23767,76.6287,41.2345,3.18,Haedus,η Aur
23783,76.6693,51.5977,4.98,,9 Aur
23794,76.6902,-4.6552,5.12,,66 Eri
23831,76.854,-12.4913,5.97,,
23835,76.8625,18.6451,4.91,,m Tau
23840,76.8918,-63.3997,5.19,,WZ Dor
23871,76.9517,20.4184,5.28,,l Tau
23875,76.9624,-5.0864,2.78,Cursa,β Eri
23879,76.9704,8.4984,5.33,,i Ori
23883,76.981,21.7048,5.84,,105 Tau
23900,77.0276,24.2652,5.5,,103 Tau
23916,77.0841,-8.6653,5.8,,
23941,77.1821,-4.4562,5.11,,68 Eri
23972,77.2866,-8.7541,4.25,,λ Eri
23983,77.3318,9.8296,5.43,,h Ori
24010,77.4248,15.5972,4.81,,15 Ori
24019,77.4379,28.0305,5.93,,V1156 Tau
24109,77.6788,46.9621,5.67,,
24162,77.8299,-2.4908,5.89,,
24169,77.8453,-11.8491,5.6,,RX Lep
24197,77.9232,16.0457,5.18,,
24203,77.939,1.037,5.88,,
24244,78.0746,-11.8692,4.45,,ι Lep
24254,78.0936,73.9467,5.44,,BN Cam
24294,78.2005,-6.0572,5.9,,
24305,78.2329,-16.2055,3.29,,μ Lep
24327,78.3078,-12.9413,4.36,,κ Lep
24331,78.3228,2.8613,4.46,,ρ Ori
24340,78.3572,38.4845,4.82,Alhiba,μ Aur
24372,78.4394,-67.1853,4.81,,θ Dor
24426,78.6202,-35.977,5.75,,
24436,78.6345,-8.2016,0.18,Rigel,β Ori
24450,78.6835,5.1562,5.5,,
24504,78.8516,32.6876,5.01,,14 Aur
24505,78.8516,-26.9435,5.06,,
24555,79.0172,11.3414,5.52,,18 Ori
24575,79.0756,34.3123,5.99,,AE Aur
24608,79.1723,45.998,0.08,Capella,α Aur
24659,79.3712,-34.8952,4.81,,ο Col
24674,79.4016,-6.8444,3.59,,τ Ori
24679,79.4177,-13.5198,5.48,,
24727,79.544,33.3716,4.54,,16 Aur
24732,79.5552,73.2681,5.81,,
24738,79.5654,42.7921,5.55,,PU Aur
24786,79.7103,-18.1301,5.96,,
24799,79.7501,33.7484,5.38,,IQ Aur
24813,79.7853,40.0991,4.69,,λ Aur
24817,79.7967,2.5958,5.34,,21 Ori
24822,79.8192,22.0965,4.96,,n Tau
24829,79.8422,-50.606,5.44,,ζ Pic
24831,79.8487,-27.3689,5.98,,
24845,79.8939,-13.1768,4.29,,λ Lep
24873,79.9959,-12.3156,5.29,,ν Lep
24879,80.0038,33.9581,5.05,,19 Aur
24902,80.0611,41.0862,5.46,,
24914,80.0942,62.6537,5.64,,
24927,80.1122,-21.2398,4.7,,
25001,80.3029,29.5699,5.66,,
25028,80.3827,-0.4165,5.68,,
25041,80.4315,8.4286,5.78,,
25044,80.4406,-0.3825,4.72,,o Ori
25045,80.4427,-24.773,5.06,,
25048,80.4517,41.8046,5.22,,ρ Aur
25110,80.6397,79.2311,5.08,,
25142,80.7083,3.5445,4.99,,m Ori
25143,80.7096,41.0293,5.54,,
25187,80.8271,-8.4156,5.99,,
25194,80.8501,-39.6784,5.73,,SW Col
25197,80.866,57.5444,5.24,,16 Cam
25202,80.8757,-13.9274,5.25,,8 Lep
25223,80.9263,-0.1598,5.69,,
25247,80.9868,-7.8081,4.13,,e Ori
25278,81.1061,17.3835,5,,111 Tau
25280,81.1187,-16.9758,5.64,,
25281,81.1192,-2.3971,3.35,Saif al Jabbar,η Ori
25282,81.1205,-0.8913,5.07,,p Ori
25291,81.1605,31.1431,5.94,,
25292,81.1631,37.3853,5.02,,σ Aur
25302,81.1868,1.8464,4.89,,25 Ori
25329,81.2573,-10.3289,5.6,,
25336,81.2828,6.3497,1.64,Bellatrix,γ Ori
25397,81.4993,-19.6954,5.78,,
25428,81.573,28.6075,1.65,Elnath,β Tau
25429,81.5803,-58.9125,5.14,,λ Dor
25471,81.7033,34.3918,5.92,,
25473,81.7093,3.0957,4.59,,ψ Ori
25488,81.7722,-40.9435,5.86,,
25492,81.7845,30.2086,5.69,,
25499,81.7921,17.9622,5.4,,115 Tau
25539,81.9087,21.937,4.88,,o Tau
25541,81.912,34.4759,5.08,,φ Aur
25555,81.94,15.8741,5.52,,116 Tau
25583,82.0067,17.2391,5.77,,117 Tau
25606,82.0613,-20.7594,2.81,Nihal,β Lep
25608,82.0639,-37.2308,5.56,,
25695,82.3188,25.1502,5.47,,118 Tau
25708,82.3487,-3.4464,5.8,,
25737,82.4333,-1.0922,4.71,,31 Ori
25751,82.4782,1.7893,5.77,,
25768,82.5395,-47.0777,5.46,,
25769,82.5425,63.0672,5.43,,17 Cam
25790,82.609,15.3604,5.93,,
25813,82.696,5.9481,4.2,,32 Ori
25816,82.7027,41.462,5.99,,
25853,82.7818,-20.8637,5.53,,10 Lep
25859,82.8031,-35.4705,3.86,,ε Col
25861,82.8106,3.2921,5.46,,n1 Ori
25887,82.9,-45.9253,5.86,,
25918,82.9709,-76.341,5.18,,γ Men
25923,82.9827,-7.3015,4.62,Thabit,υ Ori
25930,83.0017,-0.2991,2.25,Mintaka,δ Ori
25945,83.0531,18.5942,4.32,The Ruby Star,119 Tau
25950,83.0589,17.0581,5.5,,
25980,83.1723,-1.5918,5.34,,
25984,83.182,32.192,4.71,,χ Aur
25985,83.1826,-17.8223,2.58,Arneb,α Lep
25993,83.2142,-38.5134,5.45,,
26001,83.2482,-64.2275,5.34,,28 Dor
26019,83.2808,-35.1394,5.75,,
26063,83.381,-1.1561,5.36,,VV Ori
26064,83.3818,18.5402,5.67,,120 Tau
26069,83.4063,-62.4898,3.76,,β Dor
26093,83.4762,14.3056,5.6,,35 Ori
26108,83.5169,-1.4703,5.92,,
26126,83.5699,3.7669,5.32,,n2 Ori
26169,83.6866,-73.7413,5.79,,WX Men
26176,83.7052,9.4896,4.39,Heka,φ1 Ori
26197,83.7542,-6.0093,5.67,,
26199,83.7612,-6.002,4.78,,
26207,83.7845,9.9342,3.39,Meissa,λ Ori
26215,83.8052,10.2401,5.6,,
26219,83.8145,-33.0797,5.76,,
26220,83.8159,-5.3873,4.98,Trapezium,θ1 Ori
26221,83.8186,-5.3897,5.13,Becklin's Star,θ1 Ori
26235,83.8454,-5.4161,4.98,,θ2 Ori
26237,83.8465,-4.8384,4.58,Mizan Batil,c Ori
26241,83.8583,-5.9099,2.75,Hatysa,ι Ori
26248,83.863,24.0396,5.37,,121 Tau
26268,83.9145,-4.8561,5.24,,45 Ori
26311,84.0534,-1.2019,1.69,Alnilam,ε Ori
26344,84.1467,54.4287,5.74,,
26345,84.1487,-6.0648,5.71,,
26366,84.2266,9.2907,4.09,,φ2 Ori
26382,84.2656,17.0403,5.53,,122 Tau
26386,84.2683,11.035,5.97,,
26394,84.2912,-80.4691,5.65,,π Men
26396,84.2869,26.9245,5.83,,
26451,84.4112,21.1425,2.97,Tianguan,ζ Tau
26460,84.4359,-28.6897,5.28,,ν2 Col
26487,84.5047,7.5414,5.87,,
26535,84.6582,-6.574,5.96,,
26536,84.6587,30.4924,5.4,,26 Aur
26545,84.6814,-40.7073,5.81,,
26549,84.6865,-2.6001,3.77,,σ Ori
26563,84.7212,-7.2128,4.77,,d Ori
26594,84.7964,4.1215,4.5,,ω Ori
26606,84.8263,29.2152,5.98,,V0433 Aur
26624,84.8798,-3.5647,5.99,,
26634,84.9122,-34.0741,2.65,Phact,α Col
26640,84.9342,25.8971,5.18,,125 Tau
26649,84.9577,-32.6292,5.44,,
26727,85.1897,-1.9426,1.74,Alnitak,ζ Ori
26736,85.2113,-1.1288,4.95,,
26762,85.2733,0.3378,5.93,,
26777,85.3238,16.5341,4.84,,126 Tau
26865,85.5582,-22.3737,5.88,,12 Lep
26868,85.5633,-34.6678,5.29,,WZ Col
26882,85.6102,65.6976,5.62,,
26885,85.6193,1.4746,4.9,,b Ori
26926,85.7246,-6.7962,5.97,,
26966,85.8403,-18.5575,5.73,,
27072,86.1158,-22.4484,3.59,Kursi al Jabbar,γ Lep
27100,86.1932,-65.7355,4.34,,δ Dor
27196,86.4752,49.8263,5.46,,ο Aur
27204,86.4996,-32.3064,5.18,,μ Col
27243,86.6141,-46.5972,5.31,,
27249,86.6266,56.1156,5.93,,26 Cam
27253,86.6455,1.1682,5.95,,
27265,86.6896,15.8225,6,,129 Tau
27280,86.7172,9.5223,5.78,,
27288,86.7389,-14.822,3.55,,ζ Lep
27316,86.8048,14.4883,5.72,,131 Tau
27321,86.8212,-51.0665,3.85,,β Pic
27338,86.8592,17.7291,5.47,,130 Tau
27364,86.9288,13.8996,5.28,,133 Tau
27366,86.9391,-9.6696,2.07,Saiph,κ Ori
27386,87.001,6.4542,5.26,,52 Ori
27435,87.1456,-4.0946,5.97,,
27468,87.254,24.5675,4.88,,132 Tau
27483,87.2935,39.1811,4.51,,τ Aur
27511,87.3872,12.6513,4.89,,134 Tau
27517,87.4023,-14.4837,5.49,,
27530,87.4569,-56.1667,4.5,,γ Pic
27533,87.4729,-22.9719,5.87,,
27534,87.473,-66.9012,5.1,,ε Dor
27549,87.5112,9.8712,5.79,,
27560,87.5544,4.4234,5.96,,
27566,87.5699,-79.3614,5.46,,κ Men
27581,87.6204,14.3056,5.54,,135 Tau
27588,87.6251,2.0247,5.97,,
27621,87.7218,-52.1089,5.16,,
27628,87.74,-35.7683,3.12,Wazn,β Col
27629,87.7421,27.9679,5.6,,
27639,87.7602,37.3056,4.72,,υ Aur
27654,87.8304,-20.8791,3.76,Arsh al Jauzah,δ Lep
27658,87.8416,-7.518,5.36,,55 Ori
27673,87.8725,39.1485,3.97,,ν Aur
27713,88.0322,-9.0419,5.95,,
27737,88.0842,-57.1562,5.93,,
27743,88.0929,14.1718,5.6,,137 Tau
27747,88.0975,19.8678,5.96,,
27750,88.1102,1.8551,4.76,,56 Ori
27766,88.1383,-37.6311,5.62,,
27810,88.2787,-33.8014,4.88,,λ Col
27830,88.3319,27.6123,4.56,,136 Tau
27890,88.5252,-63.0896,4.65,,36 Dor
27913,88.5958,20.2762,4.39,,χ1 Ori
27938,88.6818,-11.7742,5.62,,
27939,88.6835,0.9686,5.99,,
27947,88.7087,-52.6355,5.29,,
27949,88.7116,55.7069,4.96,,ξ Aur
27955,88.7187,-39.9579,5.55,,
27965,88.7362,19.7496,5.92,,57 Ori
27971,88.7409,59.8884,5.2,,31 Cam
