hip,ra_deg,dec_deg,mag,name,desig
3760,12.0725,7.2999,5.92,,62 Psc
3765,12.0957,5.2806,5.74,,
3781,12.1476,-74.9234,5.09,,λ Hyi
3786,12.1706,7.5851,4.44,Kuton,δ Psc
3801,12.2084,50.9682,4.9,,ν Cas
3810,12.2446,16.9406,5.07,,64 Psc
3821,12.2762,57.8152,3.46,Achird,η Cas
3834,12.3081,-24.1367,5.9,,
3849,12.3567,-13.5613,5.59,,
3881,12.4535,41.0789,4.53,,ν And
3885,12.4715,27.7103,5.55,,i Psc
3909,12.5316,-10.6443,5.17,,φ2 Cet
3949,12.6716,-50.9868,5.24,,ρ Phe
3951,12.6817,64.2475,5.35,,
4104,13.1693,-24.0058,5.47,,
4147,13.2521,-1.1443,4.78,,20 Cet
4151,13.2675,61.124,4.8,,
4200,13.4078,-62.8714,5.73,,BQ Tuc
4267,13.6468,19.1884,5.8,,66 Psc
4283,13.7212,83.7074,5.59,,
4288,13.7421,23.6283,5.46,,36 And
4292,13.7507,58.9727,4.83,,υ1 Cas
4293,13.7513,-69.5271,5.45,,λ2 Tuc
4346,13.9267,-7.3471,5.88,,
4371,14.0062,-11.2665,5.35,,φ3 Cet
4422,14.1663,59.1811,4.62,Castula,υ2 Cas
4427,14.1772,60.7167,2.15,Navi,γ Cas
4436,14.1884,38.4993,3.86,,μ And
4440,14.1957,60.3628,5.56,,
4463,14.3017,23.4176,4.4,,η And
4510,14.459,28.9922,5.44,,h Psc
4552,14.5592,33.9509,5.99,,
4572,14.6294,66.3518,5.97,,
4577,14.6515,-29.3574,4.3,,α Scl
4587,14.6828,-11.38,5.62,,φ4 Cet
4675,15.0148,44.7132,5.69,,
4770,15.3261,-38.9165,5.59,,ξ Scl
4852,15.6101,-31.552,5.5,,σ Scl
4889,15.7046,31.8043,5.5,,σ Psc
4890,15.705,-46.3973,5.39,,
4903,15.7261,41.3452,5.95,,39 And
4906,15.7359,7.8901,4.27,,ε Psc
4914,15.7606,-4.8366,5.4,,25 Cet
4962,15.9042,61.0748,5.92,,
4998,16.01,52.5022,5.99,,
5021,16.081,61.5802,5.83,,
5081,16.2723,14.9461,5.64,,72 Psc
5131,16.4206,21.4732,5.33,,ψ1 Psc
5132,16.4238,21.4654,5.55,,ψ1 Psc
5164,16.5215,-9.8394,5.58,,28 Cet
5165,16.521,-46.7184,3.32,,β Phe
5268,16.8278,-61.7753,5.36,,ι Tuc
5296,16.9425,-9.7856,5.71,,30 Cet
5300,16.9494,-41.4869,5.21,,υ Phe
5310,16.9882,20.7391,5.56,,ψ2 Psc
